1,0.02832925
2,0.00232838
7,0.00156853
10,0.03787365
19,0.00629127
22,0.01329000
25,0.02674110
31,0.04456849
40,0.00562791
43,0.01652340
44,0.02478809
58,0.01604466
76,0.00216076
87,0.01480631
92,0.05316001
104,0.03646513
108,0.04644506
115,0.01495688
117,0.09878240
119,0.01258853
124,0.00796441
125,0.07740843
133,0.09755042
136,0.01737118
138,0.10505430
143,0.07673532
152,0.00783245
156,0.03276446
159,0.01359717
160,0.02168197
161,0.11479104
174,0.03096337
179,0.02436229
181,0.01377608
184,0.02023982
185,0.01952337
188,0.01823256
189,0.01084098
192,0.01559110
197,0.06258554
198,0.03107240
205,0.08081100
211,0.01969768
215,0.02280248
221,0.03420373
222,0.01618196
226,0.01710186
229,0.01935211
232,0.02076367
235,0.01646373
236,0.00649820
237,0.01019002
238,0.02206140
239,0.02290111
240,0.00246496
242,0.01654605
243,0.06498708
244,0.01166242
246,0.02370070
247,0.09495583
249,0.00133141
269,0.00194803
276,0.00558517
277,0.00427547
279,0.00784057
280,0.00266442
282,0.00855425
286,0.01842288
287,0.01635693
289,0.01321042
296,0.01581463
298,0.00160797
303,0.00181351
308,0.00255636
331,0.03251681
332,0.02565279
333,0.00658549
334,0.00471398
335,0.01190899
336,0.00582095
338,0.00284419
339,0.00927193
340,0.00238760
345,0.00261934
346,0.00109188
347,0.00263106
348,0.00218863
350,0.00341861
351,0.00159634
353,0.00503302
355,0.00118801
358,0.00117692
360,0.00478452
361,0.00556930
362,0.00162216
364,0.00465922
365,0.00198216
366,0.00241835
368,0.00134316
370,0.00109840
375,0.00105886
376,0.00093858
377,0.00316974
384,0.01875970
419,0.00793576
426,0.00651740
433,0.00061180
434,0.00061530
435,0.00063614
436,0.00082043
437,0.00079116
446,0.00811081
461,0.00254017
492,0.01138443
1,0.09315965
8,0.07912537
10,0.22141521
19,0.05210466
27,0.00347921
28,0.05190115
34,0.01082000
36,0.11247764
43,0.00155804
44,0.14491501
48,0.18966817
52,0.04541351
60,0.02451984
76,0.00315804
87,0.06491998
96,0.04776828
106,0.06448718
119,0.00919931
137,0.00698480
150,0.00770456
151,0.36849817
152,0.00381581
160,0.01584452
162,0.04999006
167,0.08060897
172,0.20333795
177,0.18294235
179,0.00395627
181,0.00575265
188,0.05329519
191,0.19541570
192,0.25065688
202,0.05656770
209,0.05285834
